2
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
55 & 0 & 302 & 327 & 305.487 & 340.487 & 311.74 & 316.99 & 11.5026 & 9.74 & 4.5 & 14.99 & 1.07 & 1.07 & 1
56 & 0 & 303 & 328 & 311.64 & 346.64 & 309.71 & 326.58 & 14.9403 & 6.71 & 16.12 & 23.58 & 3.25 & 5.47 & 1
57 & 0 & 303 & 328 & 307.551 & 342.551 & 313.48 & 319.6 & 12.049 & 10.48 & 5.37 & 16.6 & 1.52 & 1.52 & 1
58 & 0 & 305 & 330 & 310.236 & 345.236 & 309.17 & 315.87 & 5.63365 & 4.17 & 5.95 & 10.87 & 1.81 & 1.81 & 1
59 & 0 & 308 & 333 & 311.251 & 346.251 & 321.96 & 327.05 & 15.7989 & 13.96 & 4.34 & 19.05 & 0.97 & 0.97 & 1
60 & 0 & 308 & 333 & 313.425 & 348.425 & 313.88 & 320.51 & 7.08457 & 5.88 & 5.88 & 12.51 & 1.89 & 1.89 & 1
61 & 0 & 308 & 333 & 318.696 & 353.696 & 315.59 & 329.82 & 11.1242 & 7.59 & 13.48 & 21.82 & 4.12 & 4.12 & 1
62 & 0 & 309 & 334 & 315.725 & 350.725 & 323.29 & 331.01 & 15.2847 & 14.29 & 6.97 & 22.01 & 2.44 & 2.44 & 1
63 & 0 & 310 & 335 & 320.507 & 355.507 & 324.25 & 334.98 & 14.4733 & 14.25 & 9.98 & 24.98 & 4.04 & 4.04 & 1
64 & 0 & 312 & 337 & 320.262 & 355.262 & 335.35 & 352.76 & 32.4985 & 23.35 & 16.66 & 40.76 & 3.09 & 3.91 & 1
65 & 0 & 313 & 338 & 321.427 & 356.427 & 325.04 & 337.54 & 16.1131 & 12.04 & 11.75 & 24.54 & 3.16 & 3.16 & 1
66 & 0 & 317 & 342 & 324.552 & 359.552 & 329.09 & 340.87 & 16.3175 & 12.09 & 11.03 & 23.87 & 2.79 & 2.79 & 1
67 & 0 & 321 & 346 & 326.78 & 361.78 & 328.5 & 340.34 & 13.5601 & 7.5 & 11.09 & 19.34 & 2.04 & 2.74 & 3
68 & 0 & 327 & 352 & 330.795 & 365.795 & 333.09 & 338.6 & 7.80532 & 6.09 & 4.76 & 11.6 & 1.2 & 1.2 & 1
69 & 0 & 328 & 353 & 332.078 & 367.078 & 333.2 & 338.78 & 6.70171 & 5.2 & 4.83 & 10.78 & 1.32 & 1.32 & 1
70 & 0 & 330 & 355 & 335.378 & 370.378 & 336.4 & 343.14 & 7.76184 & 6.4 & 5.99 & 13.14 & 1.87 & 1.87 & 1
71 & 0 & 331 & 356 & 336.331 & 371.331 & 345.99 & 355.91 & 19.5791 & 14.99 & 9.17 & 24.91 & 1.85 & 1.85 & 1
72 & 0 & 333 & 358 & 341.427 & 376.427 & 350.77 & 366.74 & 25.3131 & 17.77 & 15.22 & 33.74 & 3.16 & 3.16 & 3
73 & 0 & 334 & 359 & 342.427 & 377.427 & 354.07 & 370.07 & 27.6431 & 20.07 & 15.25 & 36.07 & 3.16 & 3.16 & 1
74 & 0 & 336 & 361 & 339.251 & 374.251 & 346.75 & 359.93 & 20.6789 & 10.75 & 12.43 & 23.93 & 0.97 & 1.71 & 1
75 & 0 & 340 & 365 & 345.898 & 380.898 & 347.27 & 354.4 & 8.50189 & 7.27 & 6.38 & 14.4 & 2.09 & 2.09 & 1
76 & 0 & 340 & 365 & 348.262 & 383.262 & 349.51 & 366.11 & 17.8485 & 9.51 & 15.85 & 26.11 & 3.09 & 3.48 & 1
77 & 0 & 341 & 366 & 348.127 & 383.127 & 362.46 & 370.45 & 22.3229 & 21.46 & 7.24 & 29.45 & 2.61 & 2.61 & 1
78 & 0 & 341 & 366 & 351.767 & 386.767 & 345.02 & 355.89 & 4.12329 & 4.02 & 10.12 & 14.89 & 4.15 & 4.15 & 1
79 & 0 & 342 & 367 & 346.078 & 381.078 & 348.64 & 361.4 & 15.3217 & 6.64 & 12.01 & 19.4 & 1.32 & 3.3 & 1
80 & 0 & 342 & 367 & 351.018 & 386.018 & 347.71 & 357.28 & 6.26221 & 5.71 & 8.82 & 15.28 & 3.41 & 3.41 & 1
81 & 0 & 346 & 371 & 355.278 & 390.278 & 354.03 & 367.19 & 11.9122 & 8.03 & 12.41 & 21.19 & 3.52 & 3.61 & 1
82 & 0 & 346 & 371 & 349.369 & 384.369 & 355.98 & 361.35 & 11.9807 & 9.98 & 4.62 & 15.35 & 1.02 & 1.02 & 1
83 & 0 & 348 & 373 & 350.944 & 385.944 & 361.2 & 365.94 & 14.9961 & 13.2 & 3.99 & 17.94 & 0.84 & 0.84 & 1
84 & 0 & 349 & 374 & 353.102 & 388.102 & 360.46 & 366.13 & 13.0281 & 11.46 & 4.92 & 17.13 & 1.33 & 1.33 & 1
85 & 0 & 352 & 377 & 359.576 & 394.576 & 373.4 & 381.79 & 22.2139 & 21.4 & 7.64 & 29.79 & 2.8 & 2.8 & 1
