no_011_6_req
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
63 & 0 & 310 & 335 & 320.507 & 355.507 & 325.94 & 336.67 & 16.1633 & 15.94 & 9.98 & 26.67 & 4.04 & 4.04 & 1
64 & 0 & 312 & 337 & 320.262 & 355.262 & 335.15 & 352.24 & 31.9785 & 23.15 & 16.34 & 40.24 & 3.09 & 3.91 & 1
65 & 0 & 313 & 338 & 321.427 & 356.427 & 324.76 & 340.49 & 19.0631 & 11.76 & 14.98 & 27.49 & 3.16 & 3.16 & 1
66 & 0 & 317 & 342 & 324.552 & 359.552 & 328.8 & 337.09 & 12.5375 & 11.8 & 7.54 & 20.09 & 2.79 & 2.79 & 1
67 & 0 & 321 & 346 & 326.78 & 361.78 & 328.37 & 340.19 & 13.4101 & 7.37 & 11.07 & 19.19 & 2.04 & 2.74 & 3
68 & 0 & 327 & 352 & 330.795 & 365.795 & 333.5 & 338.92 & 8.12532 & 6.5 & 4.67 & 11.92 & 1.2 & 1.2 & 1
69 & 0 & 328 & 353 & 332.078 & 367.078 & 333.69 & 339.27 & 7.19171 & 5.69 & 4.83 & 11.27 & 1.32 & 1.32 & 1
70 & 0 & 330 & 355 & 335.378 & 370.378 & 336.19 & 343 & 7.62184 & 6.19 & 6.06 & 13 & 1.87 & 1.87 & 1
71 & 0 & 331 & 356 & 336.331 & 371.331 & 345.71 & 355.57 & 19.2391 & 14.71 & 9.11 & 24.57 & 1.85 & 1.85 & 1
72 & 0 & 333 & 358 & 341.427 & 376.427 & 350.94 & 366.59 & 25.1631 & 17.94 & 14.9 & 33.59 & 3.16 & 3.16 & 3
73 & 0 & 334 & 359 & 342.427 & 377.427 & 354.28 & 370.37 & 27.9431 & 20.28 & 15.34 & 36.37 & 3.16 & 3.16 & 1
74 & 0 & 336 & 361 & 339.251 & 374.251 & 347.12 & 360.06 & 20.8089 & 11.12 & 12.19 & 24.06 & 0.97 & 1.71 & 1
75 & 0 & 340 & 365 & 345.898 & 380.898 & 347.06 & 354.11 & 8.21189 & 7.06 & 6.3 & 14.11 & 2.09 & 2.09 & 1
76 & 0 & 340 & 365 & 348.262 & 383.262 & 349.51 & 365.75 & 17.4885 & 9.51 & 15.49 & 25.75 & 3.09 & 3.48 & 1
77 & 0 & 341 & 366 & 348.127 & 383.127 & 362.16 & 370.27 & 22.1429 & 21.16 & 7.36 & 29.27 & 2.61 & 2.61 & 1
78 & 0 & 341 & 366 & 351.767 & 386.767 & 344.95 & 355.76 & 3.99329 & 3.95 & 10.06 & 14.76 & 4.15 & 4.15 & 1
79 & 0 & 342 & 367 & 346.078 & 381.078 & 348.44 & 361.16 & 15.0817 & 6.44 & 11.97 & 19.16 & 1.32 & 3.3 & 1
80 & 0 & 342 & 367 & 351.018 & 386.018 & 347.78 & 357.31 & 6.29221 & 5.78 & 8.78 & 15.31 & 3.41 & 3.41 & 1
81 & 0 & 346 & 371 & 355.278 & 390.278 & 353.52 & 366.88 & 11.6022 & 7.52 & 12.61 & 20.88 & 3.52 & 3.61 & 1
82 & 0 & 346 & 371 & 349.369 & 384.369 & 355.93 & 361.18 & 11.8107 & 9.93 & 4.5 & 15.18 & 1.02 & 1.02 & 1
83 & 0 & 348 & 373 & 350.944 & 385.944 & 360.86 & 365.67 & 14.7261 & 12.86 & 4.06 & 17.67 & 0.84 & 0.84 & 1
84 & 0 & 349 & 374 & 353.102 & 388.102 & 360.31 & 365.87 & 12.7681 & 11.31 & 4.81 & 16.87 & 1.33 & 1.33 & 1
85 & 0 & 352 & 377 & 359.576 & 394.576 & 372.99 & 381.28 & 21.7039 & 20.99 & 7.54 & 29.28 & 2.8 & 2.8 & 1
